,Duration,Rental Id
,sum,count
Start Date,,
14/09/2014,58547640.0,31366
15/09/2014,53667900.0,36276
16/09/2014,50324460.0,37152
17/09/2014,52316280.0,38162
18/09/2014,45475980.0,38039
19/09/2014,55309800.0,36317
20/09/2014,61293900.0,30543
21/09/2014,63685920.0,32893
22/09/2014,42947400.0,34847
23/09/2014,42765120.0,36124
24/09/2014,40272420.0,32339
25/09/2014,44147400.0,34990
26/09/2014,46394580.0,35034
27/09/2014,66747240.0,34545
01/10/2014,36826080.0,32402
02/10/2014,44415660.0,36594
03/10/2014,48509820.0,37438
04/10/2014,29783160.0,18676
05/10/2014,63584640.0,32674
06/10/2014,23307300.0,24117
07/10/2014,32981760.0,31147
08/10/2014,22736340.0,23248
09/10/2014,26126640.0,26319
10/10/2014,34049940.0,32020
11/10/2014,44406480.0,30050
28/09/2014,79443660.0,37353
29/09/2014,34730520.0,31353
30/09/2014,42499500.0,36991
01/11/2014,6982440.0,7787
02/11/2014,4756080.0,5045
03/11/2014,10858680.0,13325
04/11/2014,10531620.0,13484
05/11/2014,12475560.0,15867
06/11/2014,11908320.0,15658
07/11/2014,10958640.0,13931
08/11/2014,4585800.0,5613
12/10/2014,49742700.0,22715
13/10/2014,13522800.0,13131
14/10/2014,32798040.0,28079
15/10/2014,16809000.0,18335
16/10/2014,19498020.0,18803
17/10/2014,14009040.0,17394
18/10/2014,8371740.0,8762
19/10/2014,7497000.0,7802
20/10/2014,14719080.0,17677
21/10/2014,11754300.0,14347
22/10/2014,13778100.0,17151
23/10/2014,12959700.0,17010
24/10/2014,12529860.0,14975
25/10/2014,6446040.0,8015
26/10/2014,5439120.0,6780
27/10/2014,13830120.0,16285
28/10/2014,13378980.0,17400
29/10/2014,10277160.0,13166
30/10/2014,12488940.0,16076
31/10/2014,13826460.0,15386
01/11/2014,52628040.0,23603
02/11/2014,19806540.0,10646
03/11/2014,10430940.0,8792
04/11/2014,12868140.0,9771
05/11/2014,15114060.0,11737
06/11/2014,15230700.0,12274
07/11/2014,15561240.0,12558
08/11/2014,18744780.0,11550
12/10/2014,1680.0,3
14/10/2014,1020.0,2
15/10/2014,10032600.0,6709
16/10/2014,22238400.0,12274
17/10/2014,26794860.0,14857
18/10/2014,47449320.0,19653
19/10/2014,52307820.0,22201
20/10/2014,21485940.0,13611
21/10/2014,18092760.0,10088
22/10/2014,21663900.0,13144
23/10/2014,21423000.0,13904
24/10/2014,25483920.0,13762
25/10/2014,45536160.0,21547
26/10/2014,43733220.0,19372
27/10/2014,31270740.0,17049
28/10/2014,31813560.0,17534
29/10/2014,16028220.0,9845
30/10/2014,25872240.0,15978
31/10/2014,38135340.0,20541
09/11/2014,41069820.0,23739
10/11/2014,35637900.0,27973
11/11/2014,36185520.0,28666
12/11/2014,28022940.0,24634
13/11/2014,30338040.0,27519
14/11/2014,29953260.0,21159
