time, mon, day, hour, apparentTemperatureHigh, apparentTemperatureLow, precipType, icon, humidity, windSpeed
1388620800, 1, 2, 0, 10.26, 4.88, rain, partly-cloudy-day,0.82, 4.89
1388707200, 1, 3, 0, 10.12, 3.08, rain, wind,0.78, 7.65
1388793600, 1, 4, 0, 6.62, -0.89, rain, partly-cloudy-day,0.84, 4.46
1388880000, 1, 5, 0, 5.01, 5.93, rain, partly-cloudy-day,0.87, 4.4
1388966400, 1, 6, 0, 12.34, 10.21, rain, wind,0.78, 8.3
1389052800, 1, 7, 0, 11.37, 4.54, rain, wind,0.78, 7.3
1389139200, 1, 8, 0, 11.58, 5.79, rain, partly-cloudy-day,0.85, 4.15
1389225600, 1, 9, 0, 10.27, 0.32, rain, wind,0.77, 6.02
1389312000, 1, 10, 0, 10.11, 3.94, rain, partly-cloudy-day,0.85, 3.56
1389398400, 1, 11, 0, 5.86, -1.84, rain, partly-cloudy-day,0.81, 2.68
1389484800, 1, 12, 0, 4.07, 2.67, rain, cloudy,0.9, 3.25
1389571200, 1, 13, 0, 6.47, -1.17, rain, partly-cloudy-day,0.83, 4
1389657600, 1, 14, 0, 4.07, 2.72, rain, partly-cloudy-day,0.81, 2.5
1389744000, 1, 15, 0, 11.17, 5.61, rain, partly-cloudy-day,0.9, 4.63
1389830400, 1, 16, 0, 10.15, 2.81, rain, partly-cloudy-day,0.83, 5.01
1389916800, 1, 17, 0, 5.67, 4.6, rain, partly-cloudy-day,0.87, 4.68
1390003200, 1, 18, 0, 7.49, 5.89, rain, partly-cloudy-day,0.83, 4.35
1390089600, 1, 19, 0, 7.37, 1.28, rain, partly-cloudy-day,0.8, 1.72
1390176000, 1, 20, 0, 8.42, 1.95, rain, fog,0.89, 0.2
1390262400, 1, 21, 0, 6.21, 2.57, rain, fog,0.89, 2.19
1390348800, 1, 22, 0, 8.48, 0.68, rain, partly-cloudy-day,0.87, 2.13
1390435200, 1, 23, 0, 4.91, 0.19, rain, partly-cloudy-day,0.82, 3.97
1390521600, 1, 24, 0, 5.69, 4.27, rain, partly-cloudy-day,0.83, 2.43
1390608000, 1, 25, 0, 11.74, 1.27, rain, wind,0.83, 3.99
1390694400, 1, 26, 0, 5.99, -2.03, rain, partly-cloudy-day,0.79, 4.55
1390780800, 1, 27, 0, 4.31, 1.41, rain, partly-cloudy-day,0.79, 5.29
1390867200, 1, 28, 0, 6.32, 1.19, rain, partly-cloudy-day,0.83, 4.32
1390953600, 1, 29, 0, 1.34, 0.35, rain, cloudy,0.9, 4.24
1391040000, 1, 30, 0, 5.87, 0.3, rain, partly-cloudy-day,0.91, 1.52
1391126400, 1, 31, 0, 3.09, 1.08, rain, cloudy,0.91, 4.74
1391212800, 2, 1, 0, 4.22, 2.96, rain, partly-cloudy-day,0.76, 6.97
1391299200, 2, 2, 0, 6.46, 2.02, rain, partly-cloudy-day,0.72, 4.75
1391385600, 2, 3, 0, 4.56, 1.1, rain, partly-cloudy-day,0.8, 4.92
1391472000, 2, 4, 0, 5.58, 1.02, rain, wind,0.75, 5.3
1391558400, 2, 5, 0, 5.83, 3.55, rain, wind,0.77, 7.86
1391644800, 2, 6, 0, 6.86, -0.88, rain, partly-cloudy-day,0.82, 4.98
1391731200, 2, 7, 0, 5.67, 3.63, rain, wind,0.79, 3.97
1391817600, 2, 8, 0, 5.04, 1.84, rain, wind,0.77, 8.53
1391904000, 2, 9, 0, 3.87, 1.36, rain, wind,0.66, 8.05
1391990400, 2, 10, 0, 7.02, -0.57, rain, partly-cloudy-day,0.84, 1.66
1392076800, 2, 11, 0, 4.03, -1.22, rain, partly-cloudy-day,0.76, 4.61
1392163200, 2, 12, 0, 4.68, 0.03, rain, wind,0.75, 7.24
1392249600, 2, 13, 0, 3.39, 0.14, rain, partly-cloudy-day,0.68, 5.83
1392336000, 2, 14, 0, 12.01, 3.28, rain, wind,0.82, 6.61
1392422400, 2, 15, 0, 5.78, -1.03, rain, wind,0.69, 9.96
1392508800, 2, 16, 0, 7.83, 2.83, rain, partly-cloudy-day,0.76, 3.34
1392595200, 2, 17, 0, 10.64, 4.96, rain, partly-cloudy-day,0.83, 4.07
1392681600, 2, 18, 0, 10.1, 2.63, rain, partly-cloudy-day,0.87, 3.06
1392768000, 2, 19, 0, 10.1, 6.52, rain, partly-cloudy-day,0.87, 3.29
1392854400, 2, 20, 0, 12.48, 0.17, rain, partly-cloudy-day,0.84, 5.38
1392940800, 2, 21, 0, 10.12, 1.57, rain, partly-cloudy-day,0.72, 5.41
1393027200, 2, 22, 0, 11.59, 4.57, rain, partly-cloudy-day,0.71, 4.77
1393113600, 2, 23, 0, 11.93, 5.49, rain, wind,0.76, 7.1
1393200000, 2, 24, 0, 14.19, 4.77, rain, wind,0.74, 5.02
1393286400, 2, 25, 0, 10.26, 1.65, rain, partly-cloudy-day,0.78, 5.69
1393372800, 2, 26, 0, 11.26, 3.02, rain, partly-cloudy-day,0.73, 3.82
1393459200, 2, 27, 0, 10.3, 0.79, rain, partly-cloudy-day,0.74, 4.14
1393545600, 2, 28, 0, 4.47, 0.73, rain, partly-cloudy-day,0.86, 2.24
1393632000, 3, 1, 0, 8.72, 0.01, rain, partly-cloudy-day,0.77, 1.63
1393718400, 3, 2, 0, 10.02, 1.06, rain, partly-cloudy-day,0.83, 5.4
1393804800, 3, 3, 0, 7.33, -0.63, rain, partly-cloudy-day,0.85, 1.33
1393891200, 3, 4, 0, 8.27, 0.2, rain, partly-cloudy-day,0.79, 2.06
1393977600, 3, 5, 0, 12.72, 3.59, rain, partly-cloudy-day,0.73, 2.14
1394064000, 3, 6, 0, 13.34, 4.55, rain, partly-cloudy-day,0.78, 4.24
1394150400, 3, 7, 0, 15.93, 5.44, rain, partly-cloudy-day,0.75, 2.68
1394236800, 3, 8, 0, 15.88, 7.03, rain, partly-cloudy-day,0.66, 3.85
1394323200, 3, 9, 0, 18.94, 4.09, rain, partly-cloudy-night,0.58, 2.78
1394409600, 3, 10, 0, 12.38, 3.37, rain, partly-cloudy-day,0.76, 3.23
1394496000, 3, 11, 0, 11.87, 1.96, rain, cloudy,0.79, 4.26
1394582400, 3, 12, 0, 15.33, 3.91, rain, fog,0.79, 1.97
1394668800, 3, 13, 0, 17.06, 4.18, rain, fog,0.76, 0.87
1394755200, 3, 14, 0, 16.36, 5.01, rain, fog,0.72, 2.03
